BARBARIAN;
He has a scar running along the left side of his face, from his forehead down to his chin. He got this from a duel with a baby dragon that got out of hand, as his previous battle scars testify. His left ear is also slightly deformed, but he wears an earring in it. He speaks with a thick accent and swears a lot. He's a loud, boisterous man who laughs and tells stories constantly. He acts like a berserker who fights for the fun of it. Overall, his appearance tends to scare people away, and he's fine with that.;
He likes his life of adventure, traveling the countryside, earning gold, and drinking. He has no interest in settling down, but he's always open to hearing about it. He is traveling the Kingdom, trying to make his fortune fighting the orcs and other monsters. He's been looking for a unique magic item that many say don't exist a lute of persuasion. He's heard rumors of such an item but has never seen it. ;
He has long dark hair and sharp yellow eyes. He has rough, black fur covering his body, and he has sharp fingernails and long, sharp teeth. He wears dark blue and black clothes, but he often carries around a black cloak and hood in case he needs to hide in the shadows.;
He is a slight, dark-haired halfling. He has a small, oval-shaped head, and a long, thin chin. He has a thin, scraggly mustache and a beard of the same color. His eyes are deep-set and sad. He wears a small golden necklace of his grandmother's, and a small brown belt with a shiny buckle. He wears simple clothes, and a nice, brown vest. He wears a small, multi-colored backpack with a picture of a tree on it.;
He was born into a long line of miners. His father was dark and one day disappeared during a dark storm. He was out in the mines, and never returned. His mother was heartbroken, and left with him. They moved to the kingdom, and lived there for many years. He grew up on a farm on the outskirts of kingdom. He received lessons on how to farm, and learned from the many farmers around him. Soon, he was old enough to fight and he decided to start the adventure.;
He is a calm and collected fellow. He is a very quiet man who enjoys spending time alone. He is wise and very mature, but he can sometimes be a bit short-tempered. He's a kind man and will help anyone out who needs it.;
He isn't very trusting of people he doesn't know, taking a while to warm up to them. He also has very little patience for jokers. Once he knows someone, he's extremely loyal and a good friend. He's often prone to being headstrong, but he's quick to admit when he's wrong.;
He has green eyes and midnight black hair. His most distinguishing feature is the tattoo of his late mother on his left arm. He's very muscular and he has a strong, angular face. He wears hide armor and black trousers. The only weapons he requires is a small shield and a large knife.;
Barbarians had a reputation, perhaps not completely deserved, as reckless ruffians and savage nuisances who needless disrupted society by acts of mayhem. However, barbarians, while undoubtedly feral and unpredictable by the nature of their rages, were not necessarily uncultured brutes. Time and time again, barbarians proved their cunning and resourcefulness as well as their sheer physical power and endurance. Sometimes, in spite of their aversion to an organized order, barbarians even demonstrated honor.;
She is happy and outgoing. She loves life and is willing to jump into any adventure. She is always looking for a challenge. She is also fearless and stubborn. She does not let anyone get in the way of what she wants. When she meets a dragon, she is ready and willing to fight. She always wants to be doing something exciting, and she is never afraid to try anything. She is curious about everything around her.;
Barbarian is an insulting word for a person from an uncivilized culture or a person with no manners. Barbarians aren't known for their etiquette.;
Barbarian is a crude uncouth ill-bred person lacking culture or refinement.;
This fearless warrior relies on his bulging muscles and striking mustache to wreak havoc in enemy villages. Release a horde of Barbarians and enjoy the mayhem!;
He appears as a male kilt-clad warrior with an angry, battle-ready expression, hungry for destruction. He has close-cropped blond hair and a long, yellow horseshoe mustache. In battle, he wields a sword which he uses to attack.;
Barbarians primary ability is strength, their saving throw proficiencies are strength and constitution.;
A barbarian's true strength lies not in the body, but in the spirit.;
A nomadic wanderer, the Barbarian combines brawn and ruggedness with a mastery of weapons, using devastating melee attacks along with war cries to boost his allies' or demoralize his enemies.;
Glorified by many a song and fireside tale, the Barbarian is unrivaled in delivering unrelenting melee fury on anyone foolish enough to greet their axe-head.;
The Barbarian has unparalleled strength and expertly wields an entire arsenal in battle, with a weapon for every occasion. He bellows intimidating war cries and unleashes ground-shaking slams to send approaching hordes reeling.;
A brutal, physical warrior, the Barbarian roams around the battlefield constantly, dishing heavy damage and wielding an array of powerful weapons with ease.;
Barbarians come alive in the chaos of combat. They can enter a berserk state where rage takes over, giving them superhuman strength and resilience. A barbarian can draw on this reservoir of fury only a few times without resting, but those few rages are usually sufficient to defeat whatever threats arise.;
Barbarians are mighty warriors who relied on their strength and incredible toughness, characterized by a bestial rage empowered either by ancestral totems and nature spirits or an inner passion for violence. Barbarians were less versatile than fighters but were tougher and capable of dealing heavy damage to their foes much more quickly.;
Barbarian is a creature class. Barbarians, are warriors who have sworn their service and their lives to a single authority figure, usually a feudal lord.;
Most barbarians are noble and serve their duty unflinchingly. Barbarians are often equipped with a longsword and a shortsword in many lands whert barbarians are found, they are the only citizens allowed to carry more than one weapon. The ability, representing their power in combat, is exclusive to barbarians. Most barbarians are aligned with white.;
Some barbarians, due to personal dishonor or the death of their lord, become rogues called ronin. Ronin may be just as honorable as othet barbarians or as underhanded as the darkest rogue. Ronin are usually black or red.;
Barbarian is a creature class. They are tough and disciplined, adept at fighting in concert, and overwhelming the enemy.;
DWARF;
Bold and hardy, dwarves are known as skilled warriors, miners, and workers of stone and metal. Though they stand well under 5 feet tall, dwarves are so broad and compact that they can weigh as much as a human standing nearly two feet taller. Their courage and endurance are also easily a match for any of the larger folk.;
Dwarven skin ranges from deep brown to a paler hue tinged with red, but the most common shades are light brown or deep tan, like certain tones of earth. Their hair, worn long but in simple styles, is usually black, gray, or brown, though paler dwarves often have red hair. Male dwarves value their beards highly and groom them carefully.;
Individual dwarves are determined and loyal, true to their word and decisive in action, sometimes to the point of stubbornness. Many dwarves have a strong sense of justice, and they are slow to forget wrongs they have suffered. A wrong done to one dwarf is a wrong done to the dwarf's entire clan, so what begins as one dwarf's hunt for vengeance can become a full-blown clan feud.;
Dwarves in other lands are typically artisans, especially weaponsmiths, armorers, and jewelers. Some become mercenaries or bodyguards, highly sought after for their courage and loyalty.;
Dwarves who take up the adventuring life might be motivated by a desire for treasure for its own sake, for a specific purpose, or even out of an altruistic desire to help others. Other dwarves are driven by the command or inspiration of a deity, a direct calling or simply a desire to bring glory to one of the dwarf gods. Clan and ancestry are also important motivators. A dwarf might seek to restore a clan's lost honor, avenge an ancient wrong the clan suffered, or earn a new place within the clan after having been exiled. Or a dwarf might search for the axe wielded by a mighty ancestor, lost on the field of battle centuries ago.;
Physically durable, insightful, primarily dwell underground, some females capable of growing beards.;
Dwarves were a natural humanoid race common throughout parts of Frozen Empire as well as Desolation of abomination. Dwarves were a tough, tradition-abiding folk known for their strong martial traditions and beautiful craftsmanship.;
Dwarves were a short race, as their name implied, standing from 1.3 - 1.45 meters on average, with gold dwarves a bit shorter. What dwarves lacked in height they made up for in bulk; they were, on average, about as heavy as humans. A dwarf could weigh anywhere from about 73-100kg. Dwarven males were a bit taller and heavier than their female counterparts. Like humans, dwarves had a wide variety of skin, eye, and hair colors, typically pale among shield dwarves and deeply tanned or brown amongst gold dwarves. Hazel eyes were common throughout the race, with blue eyes more common amongst shield dwarves and brown or green eyes found amongst the gold dwarves.
Dwarves were a long-lived race, though not so much as elves, and reached physical maturity somewhat later than humans. A dwarf was traditionally considered an adult once he or she reached age fifty. Dwarves aged much like humans but over a longer period of time, remaining vigorous well past 150 years. Most dwarves lived to see their bicentennial and a few lived to be over 400. A dwarf was considered to be young until they reached the age of 50.;
Whether or not the dwarven claim that they'd been carved from the world's stone was true, dwarves shared many qualities considered similar to the stone they lived with. Strong, hardy, and dependable, dwarves were polite, particularly to elders, and possessed a wisdom beyond that of many other races. Dwarves valued their traditions, regardless of the subrace they came from, and looked for inspiration from ancestral heroes. Dwarves were also known for their stubborn nature and cynicism, traits widespread amongst the dwarves but which contributed to and were commonly offset by their bravery and tenacity.;
Dwarven friendship was hard to earn, but was strong once won. Naturally dour and suspicious, the stout folk were slow to trust others, specifically those outside their family, suspecting the worst of an individual until the outsider had proved their good will many times. Once this trust was gained, dwarves held their friends to it and viewed betrayals, even minor ones, with a vicious propensity for vengeance. A common gnomish oath, remarking on this dwarven sense of justice, was If I'm lying, may I cross a dwarf.;
A dwarf advises on a matter of diplomacy. For dwarves, loyalty was more than a word and they felt that it should be both valued and rewarded. Dwarves believed it a gift and mark of respect to stand beside a friend in combat, and an even deeper one to protect that ally from harm. Many dwarven tales subsequently revolved around the sacrifice of dwarves for their friends and family. Just as dwarves were known for their dependability as friends and allies, dwarves also harbored grudges far longer than many other races. This might be on an individual basis between a dwarf and one who had wronged them, or against entire races, even if warfare with the enemy had long since ceased.;
Dwarves were careful and deliberate, with a more serious disposition than other races, who they sometimes viewed as flighty or reckless. A dwarf did all things with care and a stubborn resolve, with brash or cowardly behavior unusual for them. However, dwarves did succumb easily to wrath or greed, which were their most common vices.;
Dwarves who left their homeland to become adventurers did so for a number of reasons. In part, a dwarf might be motivated by simple avarice, given the dwarven love of beautiful things. As often, however, a dwarf might be motivated by a drive to do what was right for others (particularly their clan) or a love of excitement because, as settled as dwarves were, they rarely tired of thrills. But even these wayward dwarves retained the spirit of their brethren, hoping that their accomplishments abroad could bring honor to themselves, their clan, or both. Given that successful dwarven adventurers were likely to recover rare items or defeat enemies of the dwarven people during such challenges, this was a hope not entirely without merit.;
Many dwarves were difficult to like and lacked the charm of many other smaller races, such as halflings or gnomes, though this was not a trait common to all dwarves and some possessed a great deal of charismatic power. Furthermore, dwarves were not entirely unsocial and more than a few had a natural knack for bartering or judging the value of an offer, something that sat well with their legendary crafting abilities.;
Whether or not the dwarven claim that they'd been carved from the world's stone was true, dwarves shared many qualities considered similar to the stone they lived with. Strong, hardy, and dependable, dwarves were polite, particularly to elders, and possessed a wisdom beyond that of many other races. Dwarves valued their traditions, regardless of the subrace they came from, and looked for inspiration from ancestral heroes.  Dwarves were also known for their stubborn nature and cynicism, traits widespread amongst the dwarves but which contributed to and were commonly offset by their bravery and tenacity.;
Dwarven friendship was hard to earn, but was strong once won. Naturally dour and suspicious, the stout folk were slow to trust others, specifically those outside their family, suspecting the worst of an individual until the outsider had proved their good will many times. Once this trust was gained, dwarves held their friends to it and viewed betrayals, even minor ones, with a vicious propensity for vengeance.  A common gnomish oath, remarking on this dwarven sense of justice, was If I'm lying, may I cross a dwarf.;
A dwarf advises on a matter of diplomacy.For dwarves, loyalty was more than a word and they felt that it should be both valued and rewarded. Dwarves believed it a gift and mark of respect to stand beside a friend in combat, and an even deeper one to protect that ally from harm. Many dwarven tales subsequently revolved around the sacrifice of dwarves for their friends and family. Just as dwarves were known for their dependability as friends and allies, dwarves also harbored grudges far longer than many other races. This might be on an individual basis between a dwarf and one who had wronged them, or against entire races, even if warfare with the enemy had long since ceased.;
Dwarves were careful and deliberate, with a more serious disposition than other races, who they sometimes viewed as flighty or reckless. A dwarf did all things with care and a stubborn resolve, with brash or cowardly behavior unusual for them. However, dwarves did succumb easily to wrath or greed, which were their most common vices.;
Dwarves who left their homeland to become adventurers did so for a number of reasons. In part, a dwarf might be motivated by simple avarice, given the dwarven love of beautiful things. As often, however, a dwarf might be motivated by a drive to do what was right for others (particularly their clan) or a love of excitement because, as settled as dwarves were, they rarely tired of thrills. But even these wayward dwarves retained the spirit of their brethren, hoping that their accomplishments abroad could bring honor to themselves, their clan, or both. Given that successful dwarven adventurers were likely to recover rare items or defeat enemies of the dwarven people during such challenges, this was a hope not entirely without merit.;
Many dwarves were difficult to like and lacked the charm of many other smaller races, such as halflings or gnomes, though this was not a trait common to all dwarves and some possessed a great deal of charismatic power. Furthermore, dwarves were not entirely unsocial and more than a few had a natural knack for bartering or judging the value of an offer, something that sat well with their legendary crafting abilities.;
Dwarves could see in the dark, out to about 60 feet (18 meters). Many dwarves had an affinity for the caverns in which they lived, possessing a knack for recognizing unusual patterns in stonework that could seem almost supernatural at times.;
A dwarf having a snooze after eating. Dwarves highly valued the ties between family members and friends, weaving tightly knit clans. Dwarves particularly respected elders, from whom they expected sound leadership and the wisdom of experience, as well as ancestral heroes or clan founders. This idea carried on to relations with other races and dwarves were deferential even to the elders of another, non-dwarven race.;
Likewise, dwarves, perhaps moreso than most other races, turned to their gods for guidance and protection. Non-evil dwarves looked to the divine for comfort and inspiration, while the wicked looked to their divine overlords for methods through which to obtain power over others. Individual dwarves might be faithless, but the race as a whole, regardless of subrace, had a strong inclination for religion and almost every community maintained at least one temple or ancestral shrine.;
Most dwarven societies were divided into clans built along family ties and political allegiances. These clans were usually led by hereditary rulers, often monarchs of a sort and descended from the founder of the clan. Dwarves strongly valued loyalty to these rulers and to the clan as a whole and even objective dwarves tended to side primarily with their kin over other races or communities.;
Most dwarven clans focused on one or two kinds of crafting, such as blacksmithing, jewelry, engineering, or masonry. Dwarves strove to avoid overspecialization by sending some of their youths to other clans to serve as apprentices, which also helped to foster racial unity. Because of their longevity, these apprenticeships might last decades.;
Most dwarves preferred living in underground cities near the surface in the mountains, built around mines that provided much of their livelihood. Carved into stone, these cities might take centuries to complete but were practically ageless once finished. Though dwarves were typically a martial race by nature, these cities had civilian populations that made up about one fourth of the total population and which were made up primarily of the young, the elderly, or a few regular adults. Females typically composed as large a portion of the military as male dwarves did.;
Dwarves were a short, stocky race, a little taller than goblins but much broader and heavier. Most Dwarves had thick, luxuriant beards in which they took great pride, and often forked or braided them and tucked them into their belts.;
They seem to have favoured simple durable clothing, coloured hoods and heavy cloaks for travelling, and belts of gold or silver. For battle their soldiers would have elaborately crafted armor and helmets, bearing various angles and styles that were trademarks of Dwarven crafting styles. Their armor was masked with symbols (after the manner of those used in forges for shielding the eyes) that were hideous to look upon.;
They had a knack for starting a fire almost anywhere out of almost anything. Although they knew how, Dwarves did not farm or herd often, as they preferred to spend their time underground mining and crafting. They rather traded crafted items with Men and Elves in exchange for food.;
They were also capable masons and smiths - Dwarven smithying skills were said to be rivaled only by those of the Elves, and their masonry creations were bested by none. The skill of the Dwarves was unmatched they crafted objects of great beauty out of diamond, emerald, ruby and sapphire. Everything Dwarven was beautifully crafted and intricate. They crafted many famed weapons, armors, and items of art and beauty.;
Dwarves were taught special skills and spent most of their time crafting, smithying and mining in their massive underground cities.;
Dwarves were a proud and stern race and were made to be sturdy to resist the dangers of their time. They were physically very strong, had great endurance, especially in the ability to resist heat and cold, and they made light of heavy burdens. Dwarves lived longer than Men, often up to two-hundred-and-fifty years. Dwarves had the ability to learn new artisanal skills quickly, especially those dealing with metal or stone.;
Dwarven women were alike in manner, voice and appearance to their menfolk. They were few in number, less than a third of all dwarf-kind, and they were seldom seen outside their own halls, often not venturing far due to their duties as caretakers and crafters in Dwarven society. They typically only travelled when in great need, and they usually dressed similarly to Dwarf men. This often led other folk to believe there were no women among the Dwarves, that Dwarves grew from stone when created. Few female Dwarven warriors were known, but some tales say that female Dwarves were as fierce as their male counterparts, especially in protecting their families and offspring. Dwarves were usually monogamous, and fewer than one-third of Dwarven men took a wife, the rest busying themselves with their crafts.;
For dwarves, loyalty was more than a word and they felt that it should be both valued and rewarded. Dwarves believed it a gift and mark of respect to stand beside a friend in combat, and an even deeper one to protect that ally from harm. Many dwarven tales subsequently revolved around the sacrifice of dwarves for their friends and family. Just as dwarves were known for their dependability as friends and allies, dwarves also harbored grudges far longer than many other races. This might be on an individual basis between a dwarf and one who had wronged them, or against entire races, even if warfare with the enemy had long since ceased;
Dwarves were careful and deliberate, with a more serious disposition than other races, who they sometimes viewed as flighty or reckless. A dwarf did all things with care and a stubborn resolve, with brash or cowardly behavior unusual for them. However, dwarves did succumb easily to wrath or greed, which were their most common vices;
Dwarves who left their homeland to become adventurers did so for a number of reasons. In part, a dwarf might be motivated by simple avarice, given the dwarven love of beautiful things. As often, however, a dwarf might be motivated by a drive to do what was right for others (particularly their clan) or a love of excitement because, as settled as dwarves were, they rarely tired of thrills. But even these wayward dwarves retained the spirit of their brethren, hoping that their accomplishments abroad could bring honor to themselves, their clan, or both. Given that successful dwarven adventurers were likely to recover rare items or defeat enemies of the dwarven people during such challenges, this was a hope not entirely without merit.;
Dwarves highly valued the ties between family members and friends, weaving tightly knit clans. Dwarves particularly respected elders, from whom they expected sound leadership and the wisdom of experience, as well as ancestral heroes or clan founders. This idea carried on to relations with other races and dwarves were deferential even to the elders of another, non-dwarven race.;
Most dwarves preferred living in underground cities near the surface in the Frozen Empire, built around mines that provided much of their livelihood. Carved into stone, these cities might take centuries to complete but were practically ageless once finished. Though dwarves were typically a martial race by nature, these cities had civilian populations that made up about one fourth of the total population and which were made up primarily of the young, the elderly, or a few regular adults. Females typically composed as large a portion of the military as male dwarves did;
In their own homelands, dwarves continuously carved out new living space, mining the mountains' riches as they did so. Dwarves in general stuck to these locales, disliking travel, particularly along waterways, but those who lived in human lands could make themselves quite comfortable. Most who did made a living as mercenaries, smiths, or artisans of various kinds. Dwarves were eagerly sought after as warriors, their reputation for courage and loyalty making them excellent choices for bodyguards;
Dwarves were firm believers in the righteousness of their own ways, yet were surprisingly tolerant of the cultures of others, much of which was due to their natural introversion. Polite dwarves normally declined to speak their minds about others regardless of their true feelings; behavior considered good enough was left alone and not considered their business. Certain violent behavior might prompt more direct forms of response, but for the most part dwarves would live and let live. They got along passably well with most other races, their pragmatism and sense of honor serving diplomacy well, and few reasonable societies could not come to some level of agreement of them.
They live around 250-350 years.;
Dwarves are stocky, bearded, never bald, especially hardy and loyal, stubborn.;
Dwarves are shorter than Men.;
Their hair can be blond, brown, black, blue, red, and (when older) grey or white.;
As a weapon they very often use axes, swords, hammers, mattocks.;
Long time ago, the dwarves made alliances with the elves, and both prospered from trade.;
Dwarves were a short, stocky race, a little taller than hobbits but much broader and heavier. Most dwarves had thick, luxuriant beards in which they took great pride, and often forked or braided them and tucked them into their belts.;
They seem to have favoured simple durable clothing, coloured hoods and heavy cloaks for travelling, and belts of gold or silver. For battle their soldiers would have elaborately crafted armor and helmets, bearing various angles and styles that were trademarks of dwarven crafting styles. Their armor was masked with symbols (after the manner of those used in forges for shielding the eyes) that were hideous to look upon.;
Dwarven women were alike in manner, voice and appearance to their menfolk. They were few in number, less than a third of all dwarf-kind, and they were seldom seen outside their own halls, often not venturing far due to their duties as caretakers and crafters in dwarven society. They typically only travelled when in great need, and they usually dressed similarly to dwarf men. This often led other folk to believe there were no women among the dwarves, that dwarves grew from stone when created. Few female dwarven warriors were known, but some tales say that female dwarves were as fierce as their male counterparts, especially in protecting their families and offspring. Dwarves were usually monogamous, and fewer than one-third of dwarven men took a wife, the rest busying themselves with their crafts.;
Dwarves were a proud and stern race and were made to be sturdy to resist the dangers of their time. They were physically very strong, had great endurance, especially in the ability to resist heat and cold, and they made light of heavy burdens. Dwarves lived longer than men, often up to two-hundred-and-fifty years. Dwarves had the ability to learn new artisanal skills quickly, especially those dealing with metal or stone.;
Dwarves were typically stubborn, secretive, and fiercely loyal to friends and family. They treat and care for each other, even strangers among their kind like family. They cared greatly about mining, crafting, crafts, gold and gems, their acquisition of which often fueled the envy of the elves. Dwarves were easily offended by rude comments, and had a propensity to hold long-lasting grudges. Dwarves were often seen as greedy, but their nature gave them resistance to many external influences. ;
They were also capable masons and smiths. Dwarven smithying skills were said to be rivaled only by those of the elves, and their masonry creations were bested by none. The skill of the dwarves was unmatched; they crafted objects of great beauty out of diamond, emerald, ruby and sapphire. Everything dwarven was beautifully crafted and intricate.
Dwarven soldiers usually used axes as their weapon of choice because it can be used as a tool or a weapon, but in addition to axes they used hatchets, mattocks, short swords, war hammers, and very occasionally there is mention of dwarven archers.;
As for armor, Dwarves favored chain-mail and other metallic armor where the most expensive and precious of which was ring mail made of gold.;
Dwarves are a short but stocky race that inhabits Frozen Empire. What a regular dwarf lacks in in height (measuring between 4 and 5 feet), he makes up for in bulk, weighing as much as a mature human. Dwarven males are a bit taller and heavier than their female counterparts.;
Dwarves are unusually tough for humanoids, in more ways than one. Dwarven stomachs, for instance, are resistant to virtually all poisons and it takes less effort for a dwarf to get back on their feet than other races. Dwarves also have dense bodies and are difficult to push around as a result, as well as having the capacity to bear loads, that other races might find hindering, with little ill effect.;
Many dwarves have an affinity for the caverns in which they live, possessing a knack for recognizing unusual patterns in stonework that could almost seem supernatural at times. They are also renowned for their metalworking and crafting abilities.;
All dwarfs have beards and wear up to twelve layers of clothing. Gender is more or less optional.;
